Participants Condition WeightLost
1 skippedBreakfast 1.06688791576826
2 skippedBreakfast 0.423544123580726
3 skippedBreakfast 0.353457102275814
4 skippedBreakfast 0.970421812752123
5 skippedBreakfast 0.240513657240664
6 skippedBreakfast 0.226651923936306
7 skippedBreakfast -2.45841759551942
8 skippedBreakfast 0.699271931197892
9 skippedBreakfast 0.279343234007338
10 skippedBreakfast 0.25316263096419
11 skippedBreakfast 0.357714107750614
12 skippedBreakfast 0.428919775279023
13 skippedBreakfast 0.385651270573789
14 skippedBreakfast 0.314996145405065
15 skippedBreakfast 0.358878251145308
16 skippedBreakfast 0.134258223137513
17 skippedBreakfast 0.729356087004299
18 skippedBreakfast 0.674575720856143
19 skippedBreakfast 0.284573245348565
20 skippedBreakfast 0.239507452901755
21 skippedBreakfast 0.377059242503208
22 skippedBreakfast 0.383543345556102
23 skippedBreakfast 0.436439049270017
24 skippedBreakfast 0.229023891796838
25 skippedBreakfast 0.523258362575631
26 skippedBreakfast 0.490145344937415
27 skippedBreakfast 0.235574260532867
28 skippedBreakfast 0.233519844121376
29 skippedBreakfast 0.494557429619632
30 skippedBreakfast 0.509067222230264
31 skippedBreakfast 0.208647014760013
32 skippedBreakfast 0.221959728644378
33 skippedBreakfast 0.235433368965561
34 skippedBreakfast 0.698196806656513
35 skippedBreakfast 2.19628025420715
36 skippedBreakfast 0.254316210341367
37 skippedBreakfast 0.36977482843281
38 skippedBreakfast 0.227179027898978
39 skippedBreakfast 1.78693956343953
40 skippedBreakfast 0.189529973633099
41 skippedBreakfast 0.49746821931425
42 skippedBreakfast 0.438221303359177
43 skippedBreakfast 0.345952432059409
44 skippedBreakfast 0.658376976343445
45 skippedBreakfast 0.358973107198503
46 skippedBreakfast 0.650301861267237
47 skippedBreakfast 0.352874238251692
48 skippedBreakfast 0.851789640800451
49 skippedBreakfast 0.763980870174095
50 skippedBreakfast 0.269728886639488
51 skippedBreakfast 0.172538701300186
52 skippedBreakfast 0.481368162370596
53 skippedBreakfast 0.688663075681254
54 skippedBreakfast 0.254232049132219
55 skippedBreakfast 0.476356565914001
56 skippedBreakfast 0.283437064441825
57 skippedBreakfast 17.4571632789285
58 skippedBreakfast 0.306010441629554
59 skippedBreakfast 0.176195276923176
60 skippedBreakfast 0.350497444188029
61 skippedBreakfast 0.22739766070058
62 skippedBreakfast 0.376592733416288
63 skippedBreakfast 0.251937091441197
64 skippedBreakfast 0.515952902109005
65 skippedBreakfast 0.533738565928048
66 skippedBreakfast 0.319348986464995
67 skippedBreakfast 0.309345038509726
68 skippedBreakfast 0.228092390183234
69 skippedBreakfast 0.254997239071698
70 skippedBreakfast 0.718734805856281
71 skippedBreakfast 0.487360691307787
72 skippedBreakfast 0.455148926964879
73 skippedBreakfast 0.288058641692472
74 skippedBreakfast 2.67286020671406
75 skippedBreakfast 0.250701896915619
76 skippedBreakfast 0.390951868665445
77 skippedBreakfast 0.371605360076216
78 skippedBreakfast 0.275686829991863
79 skippedBreakfast 0.415665293900392
80 skippedBreakfast 0.691537457263943
81 skippedBreakfast 0.703898985440889
82 skippedBreakfast 0.598509007051192
83 skippedBreakfast 0.342005193525642
